ShortSymbol,sector,fullTimeEmployees,longBusinessSummary,city,totalRevenue,revenuePerShare,shortName,longName,symbol,sharesOutstanding,marketCap
AXISBANK,Financial Services,86500,"Axis Bank Limited provides corporate and retail banking products and services in India and internationally. The company's deposit products include savings, salary, and current accounts, as well as fixed, recurring, tax saver fixed, and flexi deposits. It also provides home, personal, holiday, car, business, gold, two-wheeler, working capital, and education loans, as well as loans against properties, securities, and fixed deposits; and commercial vehicle and construction equipment loans. In addition, the company offers safe deposit locker, safe custodian, and pension system services; foreign exchange services; investment products; and life, general, home, health, travel, motor, and business guard insurance products. Further, it provides cash management, trade, treasury, capital market, corresponding banking and financial institutions, pension, and bullion services; debit and credit cards; mutual funds, public provident funds, demat accounts, and systematic investment plan; products and services for non-resident Indians; agricultural and rural banking products and services; and burgundy and priority banking products and services. Additionally, the company offers corporate, online, mobile, and phone banking; trade finance; and risk management solutions, as well as payment and collection solutions and merchant acquiring services. Axis Bank Limited operates approximately 4,594 domestic branches with 17,043 ATMs and 5,433 cash recyclers. The company was formerly known as UTI Bank Limited and changed its name to Axis Bank Limited in July 2007. Axis Bank Limited was incorporated in 1993 and is based in Mumbai, India.",Mumbai,3.30793E+11,107.966,AXIS BANK,Axis Bank Limited,AXISBANK.NS,3066929920,2.30955E+12
BAJAJ-AUTO,Consumer Cyclical,10044,"Bajaj Auto Limited develops, manufactures, and distributes automobiles in India. It operates through two segments, Automotive and Investments. The company offers motorcycles, commercial vehicles, electric two-wheelers, etc., as well as related parts. It also exports its products to approximately 70 countries in Latin America, Africa, South Asia, the Middle East, Europe, and the Asia Pacific. The company was founded in 1945 and is based in Pune, India.",Pune,3.48945E+11,1207.092,BAJAJ AUTO LTD,Bajaj Auto Limited,BAJAJ-AUTO.NS,289367008,1.08783E+12
BAJFINANCE,Financial Services,28546,"Bajaj Finance Limited operates as a non-banking financial company in India. The company offers consumer durable, lifestyle, lifecare, digital product, two and three wheeler, developer, used car, medical equipment, vendor, light engineering, specialty chemicals, financial institution, corporate, and warehouse finance services; IPO and margin trading finance, trading account, depository, and HNI and retail broking services; personal, gold, home, business, working capital, secured enterprise, and professional loans; and loan against fixed deposits, shares, properties, and securities. It also provides life, general, and health insurance, as well as pocket insurance products; extended warranty, e-commerce, and lease rental discounting services; financial fitness reports; and EMI cards, and co-branded credit cards and wallets, as well as offers investment services, such as systematic deposit plan, fixed and term deposits, and mutual funds. The company was formerly known as Bajaj Auto Finance Limited and changed its name to Bajaj Finance Limited in September 2010. The company was incorporated in 1987 and is based in Pune, India. Bajaj Finance Limited is a subsidiary of Bajaj Finserv Limited.",Pune,1.87742E+11,312.083,BAJAJ FINANCE LTD,Bajaj Finance Limited,BAJFINANCE.NS,603593984,4.54211E+12
BAJAJFINSV,Financial Services,105,"Bajaj Finserv Ltd. operates as the holding company for various financial services businesses under the Bajaj group. The company operates through Life Insurance, General Insurance, Windmill, Retail Financing, and Investments and Other segments. It serves millions of customers by providing solutions for asset acquisition through financing; asset protection through general insurance, including motor, health, crop, marine, and other insurance products; family and income protection in the form of life and health insurance; and retirement and savings solutions. The company also generates renewable energy through windmills. It owns and operates 138 windmills with total installed capacity of 65.2 Megawatts. The company was incorporated in 2007 and is based in Pune, India.",Pune,6.24545E+11,3924.38,BAJAJ FINSERV LTD,Bajaj Finserv Ltd.,BAJAJFINSV.NS,159136992,2.79989E+12
BAJAJHLDNG,Financial Services,18,"Bajaj Holdings & Investment Limited operates as a non-banking financial company Â investment and credit company in India. It invests in listed equities, as well as in unlisted equities and alternate investment funds. The company was incorporated in 1945 and is headquartered in Pune, India.",Pune,4919300096,44.195,BAJAJ HLDG & INVES,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS,111294000,5.51768E+11
BANDHANBNK,Financial Services,52976,"Bandhan Bank Limited provides commercial banking services in India. It operates through Treasury, Retail Banking, Corporate/Wholesale Banking, and Other Banking Business segments. The company offers savings, current, fixed deposit, and corporate salary accounts, as well as cash certificate schemes. It also provides home loans, two wheeler loans, agri loans, and loans against property and term deposits, as well as personal and gold loans; micro, micro bazaar, and small enterprise loans for small businesses; and term and working capital loans for medium and large businesses. In addition, the company invests in sovereign securities; offers liability products, card services, internet and mobile banking, ATM, trading, and NRI services; and distributes third party products. Further, it provides mutual fund, money transfer, bill payment and recharge, credit card, safe deposit locker, remittance, and transactional banking services, as well as health, life, and car insurance products. As of March 31, 2021, the company operated 1,147 branches, 4,163 banking units, and 487 ATMs. Bandhan Bank Limited was incorporated in 2014 and is headquartered in Kolkata, India.",Kolkata,6275273216,3.896,BANDHAN BANK LTD,Bandhan Bank Limited,BANDHANBNK.NS,1610700032,4.82405E+11
BANKBARODA,Financial Services,82886,"Bank of Baroda provides various banking products and services to individual, government departments, and corporate customers. The company operates through Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Operations segments. It offers savings and current accounts; fixed and recurring deposits; and NRI deposit products. The company also provides loans, such as home, education, vehicle, personal, and mortgage loans, as well as loans against securities, and public issues/IPO; professional, composite, bridge, and short and medium term corporate loans, as well as loans for micro, small, and medium enterprises; working capital finance, term finance, commercial vehicle finance, export and import finance, advances against shares, bill finance, lines of credit, loans against rent receivables, project finance, infrastructure finance, supply chain finance, loans for takeover of accounts, foreign currency credit, and non-fund based services; and debit, prepaid, and credit cards. In addition, it offers loans and advances, and pensions and government schemes to rural and agricultural customers; life insurance, general insurance, and health insurance products, as well as mutual funds; appraisal, merchant banking, cash management, remittance, collection, ECS, correspondent banking, treasury, investment, lockers, and capital market services; and ATM, mobile banking, internet banking , cash recycler, and e-lobby services . Further, the company offers banking solutions for start-ups. As of March 31, 2021, it operated a network of 8,214 branches; 96 overseas branches; and 11,633 ATMs. Bank of Baroda was founded in 1908 and is headquartered in Vadodara, India.",Vadodara,2.79494E+11,58.181,BK OF BARODA,Bank of Baroda,BANKBARODA.NS,5171359744,5.30581E+11
BERGEPAINT,Basic Materials,3814,"Berger Paints India Limited manufactures and sells paint products for home, professional, and industrial users in India and internationally. It offers interior wall coatings, including designer finishes, interior emulsions, ceiling paints, and interior wall distempers; exterior wall coatings comprising exterior emulsions and texture finishes; exterior textures; self-painting, repair, enamel, glow in the dark, wall stencil, and aerosol spray kits; metal, glass, and wood finishes; and undercoats, such as putty, interior, exterior, and metal primers. The company also provides waterproofing solutions; and construction chemicals, flooring compounds, bitumen and coal tar based products, sealants and adhesives, protective and anti-corrosive coatings, etc. In addition, it offers protective and powder coatings; GI and automotive coatings; and various household cleaning products, such as hand sanitizers, disinfectant floor cleaners, toilet cleaners, etc. The company was formerly known as British Paints (India) Limited and changed its name to Berger Paints India Limited in December 1983. Berger Paints India Limited was incorporated in 1923 and is based in Kolkata, India. Berger Paints India Limited is a subsidiary of U.K. Paints India Private Limited.",Kolkata,76853198848,79.011,BERGER PAINTS IND,Berger Paints India Limited,BERGEPAINT.NS,971294976,7.41098E+11
BPCL,Energy,9251,"Bharat Petroleum Corporation Limited refines crude oil and markets petroleum products in India. The company operates through two segments, Downstream Petroleum; and Exploration and Production of Hydrocarbons. It operates fuel stations that sell petrol, diesel, automotive liquefied petroleum gas (LPG), and compressed natural gas. The company has a network of 15,402 fuel stations with 13,648 fully automated fuel stations. It also provides Bharatgas fuels to approximately 42 million homes; MAK lubricants, such as automotive engine oils, gear oils, greases, and specialties; and jet fuel and services to airlines, as well as operates oil refineries in Mumbai, Bina, Numaligarh, and Kochi. In addition, the company offers industrial fuels products, such as gases, naphtha, diesel, kerosene, white oil, black oil, furnace oil, bitumen, sulphur, and solvents and special products, as well as industrial lubricants. Further, it has participating interests in twenty blocks, including ten blocks in India and ten blocks in other countries; imports and exports of other petroleum products; and owns a network of 2,241 km of multi-product pipelines, as well as engages in the natural gas business. The company was formerly known as Bharat Refineries Limited and changed its name to Bharat Petroleum Corporation Limited in August 1977. Bharat Petroleum Corporation Limited was incorporated in 1952 and is based in Mumbai, India.",Mumbai,2.9014E+12,1412.94,BHARAT PETROL CORP,Bharat Petroleum Corporation Limited,BPCL.NS,2169250048,9.10874E+11
BHARTIARTL,Communication Services,18329,"Bharti Airtel Limited operates as a telecommunications company in Asia and Africa. It operates through Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company's product offerings include 2G, 3G, and 4G wireless services, as well as mobile commerce, fixed line services, high speed home broadband, DTH, and enterprise services, including national and international long distance services to carriers. It also provides voice, data, video, network integration, data center, and managed services, as well as enterprise mobility applications; on-demand entertainment and streaming services, such as music and video; digital payments and financial services; and cloud and data center, cybersecurity, IoT, Ad Tech, and cloud based communication products. In addition, the company operates a submarine cable system; and provides telecom towers and related infrastructure for various mobile operators. As of August 5, 2021, it had approximately 474 million customers across its operations. Bharti Airtel Limited has collaboration with Qualcomm Technologies, Inc. for accelerating 5G; partnership with Google Cloud and Cisco to launch Airtel Office Internet, a unified enterprise grade solution; and a strategic partnership with Tata Consultancy Services Limited for implementing 5G network solutions for India. The company was formerly known as Bharti Tele-Ventures Limited and changed its name to Bharti Airtel Limited in April 2006. Bharti Airtel Limited was incorporated in 1995 and is headquartered in New Delhi, India.",New Delhi,1.04214E+12,191.045,BHARTI AIRTEL LTD,Bharti Airtel Limited,BHARTIARTL.NS,5880949760,4.12313E+12
BIOCON,Healthcare,13500,"Biocon Limited, a biopharmaceutical company, manufactures pharmaceuticals, and medicinal chemical and botanical products. The company operates through Generics, Novel Biologics, Biosimilars, and Research Services segments. It focuses in the areas of diabetes, oncology, immunology, dermatology, ophthalmology, neurology, rheumatology, and inflammatory diseases. It is also involved in the integrated discovery, development, and manufacturing services for small and large molecules, antibody-drug conjugates, and oligonucleotides. The company serves customers in approximately 120 countries. Biocon Limited was founded in 1978 and is headquartered in Bengaluru, India.",Bengaluru,72632000512,61.025,BIOCON LTD,Biocon Limited,BIOCON.NS,1200600064,4.18589E+11
BOSCHLTD,Consumer Cyclical,6276,"Bosch Limited manufactures and trades in automotive products in India and internationally. The company operates through Automotive Products and Others segments. It provides automotive, industrial, consumer goods, and energy and building technology products. The company offers powertrain solutions, including gasoline and diesel injection products and solutions, and electrified drives with battery and fuel cell technologies for the electric vehicle, passenger car, and commercial vehicle/off-road market segments. It also provides automotive aftermarket services; a range of spare parts for vehicles; and repair solutions for passenger cars and two wheelers. In addition, the company offers power tools, power-tool accessories, and measuring technologies for professional users in trade and industry, the DIY market, and amateur crafters; video surveillance, intrusion detection, and fire detection and voice evacuation systems, as well as access control and management systems primarily for infrastructure and commercial applications; and critical communication systems, and professional audio and conference systems for communication of voice, sound, and music. Further, it provides indoor climate and domestic hot water technologies, condensing technologies, solar thermal systems, heat pumps, and combined heat and power systems; and home appliances. Additionally, the company offers drive and control technology, energy and building solutions, engineering and business solutions, security solutions, and software solutions for industry and trades. The company was incorporated in 1951 and is headquartered in Bengaluru, India. Bosch Limited is a subsidiary of Robert Bosch Internationale Beteiligungen AG.",Bengaluru,1.10386E+11,3742.894,BOSCH LTD,Bosch Limited,BOSCHLTD.NS,29493600,5.24392E+11
BRITANNIA,Consumer Defensive,4499,"Britannia Industries Limited manufactures and sells various food products primarily in India. It offers bakery products, such as biscuits, bread, cakes, and rusk; dairy products, including milk-based beverages, cheese, dahi, and dairy whiteners; and cream wafers, center filled croissants, and salted snacks. The company primarily offers its biscuits under the Good Day, Crackers, NutriChoice, Marie Gold, Tiger, Milk Bikis, Jim Jam + Treat, Bourbon, Little Hearts, Pure Magic, and Nice Time brand names; and cakes under the Gobbles, Tiffin Fun, Nut & Raisin, Muffills, Layerz, Rollyo, and fudgeit brand names, as well as center filled croissants under the Treat brand. It also exports its products to approximately 79 countries worldwide. The company was founded in 1892 and is based in Bengaluru, India.",Bengaluru,1.31189E+11,544.756,BRITANNIA INDS,Britannia Industries Limited,BRITANNIA.NS,240868000,8.8005E+11
CADILAHC,Healthcare,24412,"Cadila Healthcare Limited engages in the research, development, production, marketing, distribution, and sale of pharmaceutical products in India, the United States, and internationally. It offers finished dosage human formulations comprising generics, branded generics, and specialty formulations, including biosimilars and vaccines; active pharmaceutical ingredients; animal healthcare products; and consumer wellness products. The company provides products in the therapeutic areas of pain management, neurology, liver diseases, and other areas. It also offers consumer wellness products, such as SugarFree and Sugarlite; Complan; EverYuth, a range of skincare products; Nycil, a prickly heat powder; Glucon-D glucose powder; Sampriti Ghee; Nutralite; and various other products. In addition, the company is developing drugs in the areas of oncology, autoimmune disease, nephrology, ophthalmology, inflammation, rheumatology, hepatology, infectious disease, etc. Further, it offers animal healthcare products for various therapeutic areas, such as anti-bacterial, NSAIDs, anti-mastitis, tonics, and poultry vaccines. The company also engages in the retail pharmacy, and manpower supply and administration activities. Cadila Healthcare Limited was founded in 1952 and is based in Ahmedabad, India.",Ahmedabad,1.57389E+11,153.724,CADILA HEALTHCARE,Cadila Healthcare Limited,CADILAHC.NS,1023740032,5.03424E+11
CHOLAFIN,Financial Services,7620,"Cholamandalam Investment and Finance Company Limited, a non-banking finance company, provides various financial services in India. The company operates through Vehicle Finance Loans, Loan Against Property, Home Loans, and Other loans segments. It offers two and three wheeler loans, commercial vehicle loans, tractor loans, car and MUV loans, and construction equipment loans, as well as loans to automobile dealers; loans against properties; home loans; loans for the purchase of resale and new flats, independent houses, and plots; ready to occupy homes; balance transfer facility for existing home loans; home equity loans; business loans for micro, and small and medium enterprises; rural and agri-loans; and refinance against existing vehicles. The company also provides wealth management services that cover mutual funds, fixed deposits and bonds, PMS, insurance, sovereign gold bonds, and initial public offers; investment advisory services; other unsecured loans; and stockbroking services for mutual funds, stocks and derivatives, exchange-traded funds, and bonds, as well as internet broking, demat, and depository participant services. As of March 31, 2021, it operated through a network of 1,137 branches. The company was incorporated in 1978 and is headquartered in Chennai, India.",Chennai,55523098624,67.701,CHOLAMANDALAM INV,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS,820614016,5.04719E+11
CIPLA,Healthcare,25672,"Cipla Limited, together with its subsidiaries, manufactures and sells pharmaceutical products in India, the United States, South Africa, and internationally. The company offers active pharmaceutical ingredients; and formulations in various therapeutic areas, such as MI, angina, heart failure, hypertension, arrhythmia, lipid abnormalities and diabetes, obesity, HIV, respiratory, urology, oncology, cardio-metabolism, child health, infectious diseases and critical care, hepatitis, women's health, ophthalmology, and neuro psychiatry. It also provides respiratory products, including inhalers and nasal sprays, as well as other dosage forms consists of injectables and biosimilars. Cipla Limited has collaboration with CSIR-Indian Institute of Chemical Technology for the development of medication for the treatment of COVID-19; partnership with Karwa Ltd. for the commercialization of antibody detection kits for COVID-19; partnership with the Premier Medical Corporation Private Limited for the commercialization of the rapid antigen test kits for COVID-19; licensing agreement with Merck & Co., Inc. for the manufacturing and distribution of Molnupiravir, an investigational oral antiviral drug; license agreement with Eli Lilly and Company for the manufacture and commercialization of the drug baricitinib for Covid-19 indication; and collaborations with Dr. Reddy's Laboratories Ltd, Sun Pharmaceutical Industries Limited, Emcure Pharmaceuticals Limited, and Torrent Pharmaceuticals Limited for the clinical trial of the investigational oral anti-viral drug Molnupiravir. The company was incorporated in 1935 and is headquartered in Mumbai, India.",Mumbai,2.07616E+11,257.427,CIPLA LTD,Cipla Limited,CIPLA.NS,806683008,7.34646E+11
COALINDIA,Energy,259016,"Coal India Limited, together with its subsidiaries, produces and sells coal worldwide. The company offers coking coal primarily for use in steel making and metallurgical industries, and for hard coke manufacturing; and semi coking coal that is used as blend-able coal in steel making, merchant coke manufacturing, and other metallurgical industries. It also provides non-coking coal that is used as thermal grade coal for power generation, as well as for cement, fertilizer, glass, ceramic, paper, chemical, and brick manufacturing, and other heating purposes. In addition, it offers beneficiated and washed non-coking coal for use in power generation; beneficiated non-coking coal for use in cement, sponge iron, and other industrial plants; and middling products for power generation and by domestic fuel plants, brick manufacturing units, cement plants, industrial plants, etc. Further, the company provides rejects that are used for fluidized bed combustion boilers for power generation, road repairs, briquette making, land filling, etc.; CIL/LTC coke that is used in furnaces and kilns of industrial units, as well as for used as domestic fuel by halwais, hotels, etc.; and coal and coke fines that are used in industrial furnaces. Additionally, it offers tar/heavy oil/light oil/soft pitches, which are used in furnaces and boilers of industrial plants, as well as power houses, oil, dye, pharmaceutical industries, etc. The company was formerly known as Coal Mines Authority Limited and changed its name to Coal India Limited in November 1975. The company was incorporated in 1973 and is headquartered in Kolkata, India.",Kolkata,8.89969E+11,144.451,COAL INDIA LTD,Coal India Limited,COALINDIA.NS,6162729984,1.05198E+12
COLPAL,Consumer Defensive,2392,"Colgate-Palmolive (India) Limited manufactures and trades in personal and oral care products in India. The company offers toothpastes, toothpowder, toothbrushes, oil pulling products, mouthwashes, and dental gels, as well as specialty products under the Colgate brand name. It also provides soaps, cosmetics, and toilet preparations. The company offers a range of personal care products, such as shower gels and liquid hand washes under the Palmolive brand name. It also exports its products. The company was incorporated in 1937 and is headquartered in Mumbai, India.",Mumbai,50335055872,185.044,COLGATE-PALM (IND),Colgate-Palmolive (India) Limited,COLPAL.NS,271985984,4.13935E+11
DLF,Real Estate,1939,"DLF Limited, together with its subsidiaries, engages in the business of colonization and real estate development in India. Its activities include identification and acquisition of land; and planning, execution, construction, and marketing of projects. The company develops and sells residential properties, such as land, plots, apartments, and commercial units; and commercial and retail properties. It also engages in the lease of developed office space, ITes, and retail properties. In addition, the company owns and operates The Lodhi hotel and the Hilton Garden Inn in New Delhi; and golf and country clubs. Further, it engages in the provision of maintenance services; generation and sale of power; and recreational activities. DLF Limited was founded in 1946 and is based in Gurugram, India. DLF Limited is a subsidiary of Rajdhani Investments & Agencies Private Limited.",Gurugram,58760409088,23.771,DLF LIMITED,DLF Limited,DLF.NS,2475310080,1.06661E+12
